City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Tautira,PF,-17.7333,-149.15,79.59,75,19,15.37,light rain
80,Tongliao,CN,43.6125,122.2653,45.84,26,98,5.79,overcast clouds
81,Dunedin,NZ,-45.8742,170.5036,57.06,66,24,9.73,few clouds
82,Mahebourg,MU,-20.4081,57.7,75.25,79,61,12.03,broken clouds
83,Bressanone,IT,46.715,11.656,54.73,98,99,4.14,light rain
84,Elizabeth City,US,36.2946,-76.2511,69.01,45,90,1.01,overcast clouds
85,Castro,BR,-24.7911,-50.0119,68.5,72,87,3.71,overcast clouds
86,Bengkulu,ID,-3.8004,102.2655,77.07,88,100,3.62,light rain
87,New Norfolk,AU,-42.7826,147.0587,56.7,83,100,1.99,overcast clouds
88,Bredasdorp,ZA,-34.5322,20.0403,57.04,81,16,5.95,few clouds
89,Saint-Philippe,RE,-21.3585,55.7679,78.39,79,39,11.01,scattered clouds
90,Abu Kamal,SY,34.4506,40.9171,80.56,31,73,23.82,broken clouds
91,Dingle,PH,10.9995,122.6711,77.45,85,91,5.53,overcast clouds
92,Yar-Sale,RU,66.8333,70.8333,20.01,88,82,9.1,broken clouds
93,Ust-Karsk,RU,52.7011,118.8077,34.05,42,87,3.04,overcast clouds
94,Ribeira Brava,PT,32.65,-17.0667,71.71,65,0,1.48,clear sky
95,Huarmey,PE,-10.0681,-78.1522,72.57,75,87,9.44,overcast clouds
96,Teknaf,BD,20.8624,92.3058,80.42,80,51,3.42,broken clouds
97,Auki,SB,-8.7676,160.7034,77.34,86,100,3.18,overcast clouds
98,Ketchikan,US,55.3422,-131.6461,52.52,52,27,4.74,scattered clouds
99,Ternate,ID,0.8,127.4,81.25,78,100,2.82,light rain
100,Ponta Delgada,PT,37.7333,-25.6667,66.92,77,20,10.36,few clouds
101,Brae,GB,60.3964,-1.353,45.88,71,96,10.85,overcast clouds
102,Portland,US,45.5234,-122.6762,56.77,78,70,7.0,broken clouds
103,Beidao,CN,34.5686,105.8933,46.99,37,100,1.28,overcast clouds
104,Tura,IN,25.5198,90.2201,67.69,94,56,1.95,broken clouds
105,Hermanus,ZA,-34.4187,19.2345,51.8,86,38,4.21,scattered clouds
106,Ortona,IT,42.3496,14.4039,60.15,68,0,2.84,clear sky
107,Thompson,CA,55.7435,-97.8558,38.41,92,100,8.77,overcast clouds
108,Bluff,NZ,-46.6,168.3333,63.81,64,92,21.63,overcast clouds
109,Hilo,US,19.7297,-155.09,74.28,96,100,1.99,moderate rain
110,Loei,TH,17.4167,101.5,68.07,86,92,1.88,overcast clouds
111,Dikson,RU,73.5069,80.5464,13.21,97,99,16.17,overcast clouds
112,Lebu,CL,-37.6167,-73.65,54.75,59,1,14.16,clear sky
113,Rocky Mountain House,CA,52.3668,-114.9188,40.95,77,100,3.06,overcast clouds
114,Necochea,AR,-38.5473,-58.7368,58.21,36,17,8.23,few clouds
115,Roma,US,43.2128,-75.4557,59.95,27,3,10.0,clear sky
116,Muroto,JP,33.2833,134.15,60.96,64,99,6.15,overcast clouds
117,Sao Joao Da Barra,BR,-21.6403,-41.0511,79.09,72,11,12.41,few clouds
118,Asyut,EG,27.181,31.1837,86.49,14,32,10.16,scattered clouds
119,Chokurdakh,RU,70.6333,147.9167,7.83,96,30,7.52,scattered clouds
120,Antsohihy,MG,-14.8796,47.9875,74.97,93,16,1.57,light rain
121,Anshun,CN,26.25,105.9333,49.57,88,100,14.67,overcast clouds
122,Cartagena,CO,10.3997,-75.5144,89.22,66,75,9.22,broken clouds
123,Asau,RO,46.4333,26.4,54.52,74,53,1.63,broken clouds
124,Quelimane,MZ,-17.8786,36.8883,75.15,83,0,3.44,clear sky
125,Kosh-Agach,RU,50.0,88.6667,43.66,36,100,0.89,overcast clouds
126,Kifri,IQ,34.6959,44.9661,79.99,31,3,3.53,clear sky
