City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
220,Ko Samui,TH,84.11,broken clouds,9.5357,99.9357,The Passage
221,Spring Hill,US,86.99,broken clouds,28.4769,-82.5255,Room of The world By traveline Plus
222,Buala,SB,79.23,overcast clouds,-8.145,159.5921,Maringe Lagoon Lodge
229,Mabaruma,GY,86.68,overcast clouds,8.2,-59.7833,Monty Brooms Guest House
230,Georgetown,MY,82.33,few clouds,5.4112,100.3354,Cititel Penang
231,Bobon,PH,76.87,overcast clouds,12.5246,124.5636,Fisherville
235,Kailua,US,75.65,overcast clouds,21.4022,-157.7394,Sheffield House Bed & Breakfast
236,Suba,PH,83.79,overcast clouds,10.8438,121.0102,Jarnchi Pension House
238,Tevaitoa,PF,80.94,light rain,-16.7833,-151.5,Hôtel Raiatea Lodge
239,Port Keats,AU,78.58,few clouds,-14.25,129.55,TDC Village (Hundred Man Camp)
240,Lahaina,US,75.2,overcast clouds,20.8783,-156.6825,Lahaina Shores Beach Resort
242,Matamoros,MX,87.91,clear sky,25.5333,-103.25,Quinta Belem
243,Pathein,MM,80.38,broken clouds,16.7833,94.7333,Pathein Hotel
256,Buchanan,LR,81.91,moderate rain,5.8808,-10.0467,Kamaneahn Hotel Inc
261,Jamuria,IN,78.4,mist,23.7,87.0833,Sunil Murmu ᱥᱩᱱᱤᱞ ᱢᱩᱨᱢᱩ
262,Bairiki,KI,78.8,broken clouds,1.3292,172.9752,Tarawa Boutique Hotel
265,Harper,LR,82.63,overcast clouds,4.375,-7.7169,Screensaver
268,Faanui,PF,80.91,scattered clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
270,Manta,EC,81.43,broken clouds,-0.95,-80.7333,Balandra Hotel
278,Destin,US,80.44,overcast clouds,30.3935,-86.4958,The Inn on Destin Harbor
280,Kannangad,IN,83.39,overcast clouds,12.3081,75.1063,Hotel Landmark
281,Bagua Grande,PE,79.65,light rain,-5.7561,-78.4411,HOTELNIEVA
282,Sorong,ID,79.61,moderate rain,-0.8833,131.25,Waigo Splash Hotel
285,Nabire,ID,75.43,broken clouds,-3.3667,135.4833,Hotel Nusantara I
290,Lompoc,US,80.85,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
293,Mattru,SL,84.34,light rain,7.6244,-11.8332,"Mondkor Town, Bagbo Chiefdom, Bo District"
294,Caravelas,BR,80.91,few clouds,-17.7125,-39.2481,Pousada dos Navegantes
298,Sai Buri,TH,80.96,broken clouds,6.7013,101.6168,ร้าน​ เวดดิ้ง
300,Pa Daet,TH,80.35,overcast clouds,19.5049,99.9924,วัชชระ วรรณะสุข
301,Gamboma,CG,75.72,overcast clouds,-1.8764,15.8644,Residence N'Keni
309,Veraval,IN,82.89,clear sky,20.9,70.3667,Lords Inn Somnath
310,Hun,LY,85.59,broken clouds,29.1268,15.9477,Alrwasi Hotel
323,Saint-Joseph,RE,77.38,scattered clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
324,Sechura,PE,80.49,overcast clouds,-5.5569,-80.8222,Hospedaje Costa Bella
325,Hambantota,LK,81.43,overcast clouds,6.1241,81.1185,Bungalow 63
326,Chorozinho,BR,85.55,scattered clouds,-4.3003,-38.4978,Churrascaria e Pousada Pantanal
331,Port Blair,IN,83.39,broken clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
339,Salalah,OM,86.09,few clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
346,Cururupu,BR,82.65,overcast clouds,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
352,San Policarpo,PH,80.15,overcast clouds,12.1791,125.5072,Agapita M. Nicart
354,Manacapuru,BR,81.84,light rain,-3.2997,-60.6206,Novo Hotel
357,Arraial Do Cabo,BR,76.86,broken clouds,-22.9661,-42.0278,Pousada Porto Praia
360,Kalmunai,LK,82.44,few clouds,7.4167,81.8167,VS Villa
366,Gambela,ET,77.86,overcast clouds,8.25,34.5833,Solomon Debebe Hotel
367,Aiken,US,84.11,clear sky,33.5835,-81.5998,Aiken Cottages
371,Tarakan,ID,78.3,scattered clouds,3.3,117.6333,RedDoorz Syariah near Taman Berlabuh Tarakan
373,Ixtapa,MX,78.03,clear sky,20.7,-105.2,hotel la terminal
374,Tecoanapa,MX,85.82,scattered clouds,16.5167,-98.75,Hotel Manglares
376,Hobyo,SO,84.96,broken clouds,5.3505,48.5268,Iftin hotel hobyo
377,Namatanai,PG,78.55,light rain,-3.6667,152.4333,Seagulls Inn Namatani
382,Ranibennur,IN,78.58,scattered clouds,14.6167,75.6167,HOTEL SRI NANDI
390,Sao Gabriel Da Cachoeira,BR,77.31,overcast clouds,-0.1303,-67.0892,Alarne - Área De Lazer Do Alto Rio Negro
391,Alice Town,BS,75.83,overcast clouds,25.7167,-79.3,Bimini Big Game Club Resort & Marina
394,Bandarbeyla,SO,84.58,clear sky,9.4942,50.8122,JABIR HOTEL
399,Esmeralda,CU,82.99,scattered clouds,21.8525,-78.1169,Centro de Pioneros Exploradores
400,Ponorogo,ID,76.23,overcast clouds,-7.8685,111.462,OYO 1190 Ndalem Katong Residence
406,Banda Aceh,ID,81.59,overcast clouds,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
409,Houma,US,88.0,scattered clouds,29.5958,-90.7195,Courtyard by Marriott Houma
412,Portel,BR,80.55,broken clouds,-1.9356,-50.8211,Kitnet do Marcos
420,San Pedro De Macoris,DO,80.73,overcast clouds,18.4616,-69.2972,Apartahotel Guaraguao
425,Manokwari,ID,77.97,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
428,Luanda,AO,80.6,few clouds,-8.8368,13.2343,EPIC SANA Luanda
431,Amahai,ID,79.14,overcast clouds,-3.3333,128.9167,HOTEL ISABELA
432,Axim,GH,81.68,overcast clouds,4.8699,-2.2405,Axim Beach Resort And Spa
433,Buraydah,SA,85.24,clear sky,26.326,43.975,Mövenpick Qassim
448,Tiarei,PF,78.82,light rain,-17.5333,-149.3333,Le Rocher de Tahiti
451,Takoradi,GH,82.13,overcast clouds,4.8845,-1.7554,Raybow International Hotel
