City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
66,Seoul,KR,2022-04-26 19:22:50,37.5683,126.9778,60.19,30,0,9.22
67,Sao Miguel Do Araguaia,BR,2022-04-26 19:24:46,-13.275,-50.1628,88.3,40,0,6.91
68,Upernavik,GL,2022-04-26 19:24:47,72.7868,-56.1549,30.2,71,97,5.99
69,Flinders,AU,2022-04-26 19:24:47,-34.5833,150.8552,62.19,93,100,5.01
70,Cherskiy,RU,2022-04-26 19:21:36,68.75,161.3,26.65,81,100,4.25
71,Ust-Ishim,RU,2022-04-26 19:24:48,57.6935,71.1665,42.98,91,23,5.32
72,Pasighat,IN,2022-04-26 19:24:49,28.0667,95.3333,69.53,71,37,4.94
73,Port-Gentil,GA,2022-04-26 19:20:26,-0.7193,8.7815,82.36,89,40,5.75
74,Mandera,KE,2022-04-26 19:24:50,3.9366,41.867,78.15,70,100,4.34
75,Kaeo,NZ,2022-04-26 19:24:50,-35.1,173.7833,58.32,93,20,4.03
76,Aklavik,CA,2022-04-26 19:24:51,68.2191,-135.0107,29.52,92,78,5.75
77,Saint-Augustin,CA,2022-04-26 19:24:51,51.226,-58.6502,35.15,100,100,6.53
78,Ewa Beach,US,2022-04-26 19:24:52,21.3156,-158.0072,78.75,71,100,13.8
79,Malanje,AO,2022-04-26 19:24:53,-9.5402,16.341,66.29,90,98,2.8
80,La Seyne-Sur-Mer,FR,2022-04-26 19:23:55,43.0982,5.8847,62.55,81,14,1.99
81,Kruisfontein,ZA,2022-04-26 19:24:54,-34.0033,24.7314,54.88,92,0,7.29
82,Hovd,MN,2022-04-26 19:24:54,48.0056,91.6419,39.02,41,77,2.15
83,Deputatskiy,RU,2022-04-26 19:24:55,69.3,139.9,-2.22,100,100,2.42
84,Pevek,RU,2022-04-26 19:24:55,69.7008,170.3133,23.22,72,100,8.05
85,Xichang,CN,2022-04-26 19:24:56,27.8964,102.2634,60.53,81,2,2.33
86,Sonoita,MX,2022-04-26 19:24:57,31.85,-112.8333,88.75,6,81,10.76
87,Dunedin,NZ,2022-04-26 19:24:57,-45.8742,170.5036,54.81,77,84,3.0
88,Aitape,PG,2022-04-26 19:24:58,-3.1374,142.3475,79.21,85,100,5.99
89,Santiago De Cuba,CU,2022-04-26 19:24:59,20.0247,-75.8219,80.71,69,40,13.8
90,Geraldton,AU,2022-04-26 19:24:59,-28.7667,114.6,61.21,82,75,16.11
91,Peace River,CA,2022-04-26 19:23:57,56.2501,-117.286,52.11,53,100,3.44
92,Nikki,BJ,2022-04-26 19:26:00,9.9401,3.2108,90.19,23,24,2.01
93,Khatanga,RU,2022-04-26 19:26:01,71.9667,102.5,10.13,94,100,6.67
94,Madimba,TZ,2022-04-26 19:26:01,-10.4,40.3333,77.38,87,73,7.47
95,San Jose,US,2022-04-26 19:23:06,37.3394,-121.895,69.44,52,20,17.27
96,Katobu,ID,2022-04-26 19:26:03,-4.9408,122.5276,74.8,95,98,1.66
97,Hearst,CA,2022-04-26 19:26:03,49.6835,-83.6665,14.25,77,100,9.53
98,Yellowknife,CA,2022-04-26 19:22:21,62.456,-114.3525,43.32,52,40,9.22
99,Kapaa,US,2022-04-26 19:26:04,22.0752,-159.319,76.98,91,100,18.41
100,Namatanai,PG,2022-04-26 19:26:05,-3.6667,152.4333,80.11,81,14,7.78
101,Verkhnevilyuysk,RU,2022-04-26 19:26:05,63.4453,120.3167,10.65,97,48,0.81
102,Soufriere,LC,2022-04-26 19:26:06,13.8562,-61.0566,82.0,83,75,14.97
103,Nelidovo,RU,2022-04-26 19:26:07,56.2211,32.7774,41.56,80,64,3.33
104,Korb,DE,2022-04-26 19:26:07,48.843,9.3626,49.24,89,20,1.99
105,Bogotol,RU,2022-04-26 19:26:08,56.2078,89.5342,35.47,84,28,7.85
106,Cabo San Lucas,MX,2022-04-26 19:21:52,22.8909,-109.9124,88.61,30,0,11.5
107,Yen Bai,VN,2022-04-26 19:26:09,21.7,104.8667,78.03,88,85,1.43
108,Codajas,BR,2022-04-26 19:26:10,-3.8367,-62.0569,88.59,61,100,3.6
109,Olinda,BR,2022-04-26 19:26:11,-8.0089,-34.8553,83.93,65,40,12.66
110,Norman Wells,CA,2022-04-26 19:21:27,65.282,-126.8329,37.17,88,100,5.88
111,Avarua,CK,2022-04-26 19:26:12,-21.2078,-159.775,80.65,89,20,3.44
112,Belyy Yar,RU,2022-04-26 19:26:13,53.6039,91.3903,33.69,64,0,4.47
113,Alassio,IT,2022-04-26 19:26:13,44.0039,8.1671,59.05,89,50,5.82
114,Saint-Philippe,RE,2022-04-26 19:26:14,-21.3585,55.7679,73.22,82,37,11.36
